Euler Rotation Matrix,Time for Euler,Time for Quaternion,Quaternion Result
"[[ 0.6545085  -0.47552826 -0.58778525]
 [ 0.66143009 -0.85672018 -0.14048433]
 [-0.36623608  0.19975838  0.79672621]]",5.308300000000932e-05,3.958999999997825e-06,"[0.9477493561287419, 0.07789427686134212, 0.3091429724944552, -0.011587154400288954]"
"[[ 0.99890681 -0.03304529 -0.03306337]
 [ 0.03413788 -0.99894296 -0.03304529]
 [-0.03193404 -0.0319527   0.99890681]]",4.9083999999977035e-05,3.874999999986528e-06,"[0.9991271627418004, 0.015944666528799743, 0.017098561477262714, 0.03461675138157795]"
"[[ 0.98746396 -0.11126047 -0.11196448]
 [ 0.13151895 -0.97706397 -0.19386364]
 [-0.08727944 -0.18156847  0.97461831]]",4.845799999997347e-05,3.915999999992703e-06,"[0.9935420887873764, 0.09677613512539104, 0.05766476792689967, 0.013537799605034338]"
"[[ 0.99875451 -0.03526948 -0.03529146]
 [ 0.04819804 -0.86610867 -0.49968853]
 [-0.01289853 -0.49860991  0.86548592]]",4.783400000002436e-05,3.790999999975231e-06,"[0.9655966116847339, 0.2582824382617407, 0.0233927370438392, 0.019134927283087143]"
"[[ 0.99240388 -0.08682409 -0.08715574]
 [ 0.09058111 -0.99569265 -0.04011272]
 [-0.08324427 -0.03252275  0.99538678]]",4.787499999997502e-05,4.0839999999597865e-06,"[0.9970763382586797, 0.017448044223265128, 0.04474566535121294, 0.05943203571915992]"
"[[ 0.99899334 -0.03171196 -0.03172793]
 [ 0.03459868 -0.99506643 -0.09500819]
 [-0.02855243 -0.09400608  0.99497074]]",4.7791000000019235e-05,3.833000000008635e-06,"[0.9984299320877597, 0.047152100854709694, 0.017067719804278524, 0.02496083005233341]"
"[[ 0.99096435 -0.09462562 -0.09505604]
 [ 0.10059597 -0.9942013  -0.0601051 ]
 [-0.08871364 -0.05108593  0.99365574]]",4.741600000002233e-05,3.916999999964421e-06,"[0.9980157610549454, 0.028746201729933554, 0.04843332398289336, 0.02814977264541021]"
"[[ 0.9989727  -0.03203511 -0.03205158]
 [ 0.03503723 -0.99477411 -0.09796678]
 [-0.02873925 -0.09694442  0.99467342]]",4.7833999999968846e-05,3.874999999986528e-06,"[0.9985489501830985, 0.04879571121930143, 0.016800896566779445, 0.015385139888439621]"
"[[ 0.96623611 -0.18062083 -0.18374952]
 [ 0.1964438  -0.98281541 -0.07175243]
 [-0.16672613 -0.03807862  0.98035081]]",4.8125000000009965e-05,3.834000000035864e-06,"[0.9949980844129597, 0.03489869925099651, 0.09277218142738482, 0.012418339596479734]"
"[[ 0.98652244 -0.11530794 -0.11609291]
 [ 0.12457901 -0.9913557  -0.07603165]
 [-0.10608277 -0.06259364  0.990324  ]]",4.733399999995447e-05,3.750000000024567e-06,"[0.9939736096348956, 0.03302848764423696, 0.061213720191947006, 0.08472580960706572]"
"[[ 0.99773596 -0.04752802 -0.04758192]
 [ 0.05031394 -0.99724718 -0.05917353]
 [-0.04462577 -0.05691347  0.99711306]]",4.741699999999405e-05,3.708000000046674e-06,"[0.9870853065605205, 0.02553905821529317, 0.028128746927366513, 0.1556249583906631]"
"[[ 0.99901336 -0.03139526 -0.03141076]
 [ 0.03462105 -0.99375408 -0.10806567]
 [-0.02781512 -0.10708482  0.99364741]]",4.724999999999868e-05,3.917000000019932e-06,"[0.9973198296857713, 0.053324628000453726, 0.018242231399385703, 0.046656857563797054]"
"[[ 0.97290862 -0.16234973 -0.16459459]
 [ 0.16987243 -0.98671775 -0.03261243]
 [-0.15681892 -0.00553586  0.98582202]]",4.658299999998894e-05,3.79200000000246e-06,"[0.9962346154241394, 0.014646862781183198, 0.08291236705234657, 0.020678487158474448]"
"[[ 0.99572243 -0.0652631  -0.06540313]
 [ 0.06889901 -0.99657933 -0.05496981]
 [-0.06156108 -0.05069874  0.99634369]]",4.700000000001925e-05,3.958000000026107e-06,"[0.9988063172548713, 0.026728633410873212, 0.03337266433907684, 0.023617494419598446]"
"[[ 0.98145864 -0.13489839 -0.13616665]
 [ 0.14216538 -0.99050317 -0.04509067]
 [-0.12856102 -0.02656853  0.98965927]]",4.704199999999714e-05,3.833000000008635e-06,"[0.997098139720461, 0.020885905463179713, 0.06880510818002383, 0.02499871611331424]"
"[[ 0.99875451 -0.03526948 -0.03529146]
 [ 0.03771764 -0.99691962 -0.07129474]
 [-0.03266195 -0.07005243  0.99683076]]",4.795799999995909e-05,3.6250000000070948e-06,"[0.998620472048958, 0.0350495048200091, 0.018871941839025446, 0.034242295889917514]"
